Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ጓ,1313,gwā,gwā,gua,guā,gua,gwa,gwä,gwa,gwā,gWa
ጔ,1314,gwé,gwē,gue,guē,gue,gwe,gwe,gwe,gwē,gWE
ጕ,1315,gwe,gwi,guə,gue,guĕ,gwə/gwŭ,gwï,gwɪ,gwe,gW
ⷘ,2DD8,,,,,,,,,ǵa,‘ge
ⷙ,2DD9,,,,,,,,,ǵu,‘gu
ⷚ,2DDA,,,,,,,,,ǵi,‘gi
ⷛ,2DDB,,,,,,,,,ǵā,‘ga
ⷜ,2DDC,,,,,,,,,ǵē,‘gE
ⷝ,2DDD,,,,,,,,,ǵe,‘g
ⷞ,2DDE,,,,,,,,,ǵo,‘go
ጘ,1318,,,,,,,,,g̣a,Ge
ጙ,1319,,,,,,,,,g̣u,Gu
ጚ,131A,,,,,,,,,g̣i,Gi
ጛ,131B,,,,,,,,,g̣ā,Ga
ጜ,131C,,,,,,,,,g̣ē,GE
ጝ,131D,,,,,,,,,g̣e,G
ጞ,131E,,,,,,,,,g̣o,Go
ⶓ,2D93,,,,,,,,,g̣wa,GWe
ⶔ,2D94,,,,,,,,,g̣wi,GWi
ጟ,131F,,,,,,,,,g̣wā,GWa
ⶕ,2D95,,,,,,,,,g̣wē,GWE
ⶖ,2D96,,,,,,,,,g̣we,GW
ጠ,1320,ṭa,ta,ṭä,ṭa,ṭă,ṭɑ,ṭä,Tə,ṭa,Te
ጡ,1321,ṭu,tu,ṭu,ṭū,ṭu,ṭu,ṭu,Tu,ṭu,Tu
ጢ,1322,ṭi,tī,ṭi,ṭī,ṭi,ṭi,ṭi,Ti,ṭi,Ti
ጣ,1323,ṭā,tā,ṭa,ṭā,ṭa,ṭa,ṭa,Ta,ṭā,Ta
ጤ,1324,ṭé,tē,ṭe,ṭē,ṭe,ṭʸe,ṭe,Te,ṭē,TE
ጥ,1325,ṭe/ṭ,t/ti,ṭə/ṭø,ṭe,ṭĕ,ṭ/ṭə,ṭï,Tɪ,ṭe,T
ጦ,1326,ṭo,to,ṭo,ṭō,ṭo,ṭʷo,ṭo,To,ṭo,To
ጧ,1327,ṭwā,,,,,ṭwa,ṭwä,,ṭwā,TWa
ጨ,1328,ċa,cha,č̣ä,,tch’ă,č̣ä,cḥä,Cə,č̣a,Ce
ጩ,1329,ċu,chu,č̣u,,tch’u,č̣u,cḥu,Cu,č̣u,Cu
